µçÑ¹,µçÁ÷
-116.788,-0.034
-131.136,-0.034
-145.158,-0.034
-158.885,-0.034
-173.541,-0.034
-186.539,-0.034
-199.305,-0.034
-212.581,-0.034
-223.827,-0.035
-231.945,-0.035
-238.904,-0.035
-247.989,-0.035
-257.931,-0.035
-265.918,-0.051
-273.164,-0.411
-279.826,-1.605
-285.854,-2.613
-291.043,-2.836
-295.713,-2.805
-300.548,-2.846
-305.846,-2.989
-311.37,-3.095
-316.503,-3.007
-320.844,-2.744
-324.241,-2.378
-326.618,-1.945
-328.312,-1.596
-329.781,-1.404
-331.082,-1.271
-332.064,-1.114
-332.56,-0.907
-332.447,-0.653
-330.951,-0.314
-324.9,-0.039
-311.609,0.021
-294.886,0.023
-281.316,0.023
-272.208,0.023
-263.379,0.023
-254.017,0.023
-244.443,0.023
-233.75,0.023
-221.534,0.024
-208.365,0.024
-195.055,0.024
-182.003,0.024
-168.326,0.024
-154.376,0.024
-140.392,0.024
-125.452,0.025
-110.19,0.025
-94.439,0.025
-77.336,0.025
-59.774,0.025
-44.08,0.026
-29.538,0.026
-13.622,0.026
3,0.026
20.362,0.026
37.561,0.026
55.125,0.026
72.069,0.027
87.766,0.027
103.217,0.027
118,0.027
132.24,0.027
145.367,0.027
157.979,0.027
172.136,0.027
185.623,0.028
198.68,0.028
211.915,0.028
223.127,0.028
231.301,0.028
238.244,0.028
247.077,0.028
257.14,0.028
265.438,0.042
272.849,0.385
279.69,1.585
286.003,2.668
